TABELA 29,,,,,(Voltar ao índice)
Lesão corporal dolosa - violência doméstica (1),,,,,
Brasil e Unidades da Federação – 2017-2018,,,,,
,,,,,
 Brasil e Unidades da Federação,Lesão corporal dolosa - Violência doméstica,,,,
,Ns. Absolutos,,Taxas (2),,Variação (%)
,2017,2018,2017,2018,
,,,,,
Brasil,252.895,263.067,"125,1","126,2","0,8"
,,,,,
Acre (3),658,2.329,"79,3","267,9","237,8"
Alagoas,1.815,1.628,"53,8","49,0","-8,9"
Amapá,548,329,"68,7","39,7","-42,3"
Amazonas (3),2.613,3.466,"64,3","84,9","32,1"
Bahia (8),12.458,12.342,"81,2","83,3","2,6"
Ceará (3),5.931,5.170,"65,8","57,0","-13,4"
Distrito Federal,14.583,14.985,"479,8","503,7","5,0"
Espírito Santo,...,380,...,"9,6",...
Goiás,4.180,5.667,"61,7","81,9","32,8"
Maranhão (3),8.955,8.038,"127,9","114,3","-10,7"
Mato Grosso ,14.062,13.649,"420,4","396,5","-5,7"
Mato Grosso do Sul,5.631,5.434,"207,5","197,7","-4,7"
Minas Gerais (3) (4),22.786,21.960,"107,9","104,4","-3,3"
Pará,6.656,7.940,"79,6","93,3","17,2"
Paraíba (3),2.014,2.002,"50,0","50,1","0,1"
Paraná,14.149,16.021,"125,0","141,2","13,0"
Pernambuco,7.346,8.530,"77,5","89,8","15,8"
Piauí,2.584,2.171,"80,3","66,5","-17,1"
Rio de Janeiro,24.477,29.156,"146,4","169,9","16,1"
Rio Grande do Norte,2.220,2.705,"63,3","77,8","22,8"
Rio Grande do Sul,23.179,22.008,"204,7","194,3","-5,1"
Rondônia,3.686,4.016,"204,1","228,5","11,9"
Roraima,647,542,"123,8","94,0","-24,1"
Santa Catarina,15.851,15.573,"226,4","220,1","-2,8"
São Paulo,50.665,50.688,"112,4","111,3","-0,9"
Sergipe,5.201,5.121,"227,3","224,8","-1,1"
Tocantins ,...,1.217,...,"78,3",...
,,,,,
Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Instituto Brasileiro de Geografia e Estatística (IBGE); Fórum Brasileiro de Segurança Pública. ,,,,,
(...) Informação não disponível.,,,,,
"(1) Número de registros de Lesão corporal dolosa - violência doméstica (Art. 129º, §9º do CP).",,,,,
(2) Por 100 mil habitantes.,,,,,
(3) O Estado informou apenas o número de vítimas mulheres. ,,,,,
"(4) Minas Gerais não diferencia lesão corporal dolosa e culposa, os dados entregues se referem a lesão corporal consumada.",,,,,
(8) Dado refere-se a número de vítimas.,,,,,
